"Gene","V1","EndoNeg_HeatxControl","EndoPos_HeatxControl","EndoPos_HPxControl","EndoNeg_HPxControl","EndoPos_HPxHeat","EndoNeg_HPxHeat","Control_NegxPos","Heat_NegxPos","PxH_NegxPos"
"gene.10179.1187.0",0,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
"gene.10179.1386.0",0,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
"gene.10179.26.0",0,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
"gene.10179.280.0",0,"Significant Upregulated","Not Significant","Not Significant","Significant Upregulated","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
"gene.10179.588.0",0,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
"gene.10179.599.0",0,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
"gene.10179.796.0",0,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
"gene.101799.0.0",0,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
"gene.10182.782.0",0,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
"gene.101825.94.0",0,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
"gene.10183.1216.0",0,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
"gene.10183.1352.0",0,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
"gene.10183.1371.0",0,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
